pmid,sentence,structure_1,structure_2,relation,score,pubmed_url
PMC10956938,"The facial nerve was found to be dehiscent over the tympanic segment and the upper part of the mastoid segment, with an aberrant route; the cholesteatoma pushed the facial nerve inferolaterally.",facial nerve,tympanic,structural connectivity,0.9985695481300354,http://www.ncbi.nlm.nih.gov/pubmed/PMC10956938
PMC10956938,"The facial nerve was found to be dehiscent over the tympanic segment and the upper part of the mastoid segment, with an aberrant route; the cholesteatoma pushed the facial nerve inferolaterally.",tympanic,facial nerve,structural connectivity,0.9978857040405273,http://www.ncbi.nlm.nih.gov/pubmed/PMC10956938
PMC10957016,"In this study, we summarize the clinical data and treatment of one such case, in which a 64-year-old female patient with PAL developed symptoms of NL, such as facial nerve, oculomotor nerve, and lumbar plexus nerve damage.",facial nerve,oculomotor nerve,structural connectivity,0.997654139995575,http://www.ncbi.nlm.nih.gov/pubmed/PMC10957016
38524057,"Plain MRI showed no abnormalities in the brain.Contrast-enhanced MRI performed on day 7 after onset showed enhanced intensity of bilateral labyrinthine and tympanic segments of the facial nerve, including the geniculate ganglions.",tympanic,facial nerve,anatomical connectivity,0.9238989353179932,http://www.ncbi.nlm.nih.gov/pubmed/38524057
38427579,"The pudendal nerve is a motor and sensory nerve originating from the second, third, and fourth sacral nerve roots.",pudendal nerve,sacral nerve,structural connectivity,0.9974425435066223,http://www.ncbi.nlm.nih.gov/pubmed/38427579
38534437,"The trigeminal nerve (TN), or fifth cranial nerve, provides sensory–motor function via its three branches: V1, V2, and V3.",trigeminal nerve,fifth cranial nerve,structural connectivity,0.7648296356201172,http://www.ncbi.nlm.nih.gov/pubmed/38534437
PMC10968796,"One of the mechanisms of action of ear acupuncture is thought to be mediated via vagal nerve stimulation [16], but other mechanisms may be involved, including trigeminal nerve stimulation (TNS) [17].",vagal nerve,trigeminal nerve,anatomical connectivity,0.8911607265472412,http://www.ncbi.nlm.nih.gov/pubmed/PMC10968796
PMC10971037,"Given the anatomic relationship of VS, tumor growth can lead to facial nerve (FN) dysfunction, trigeminal nerve dysfunction (TN), cerebellar dysfunction, brainstem compression, and hydrocephalus [3].",facial nerve,trigeminal nerve,structural connectivity,0.9985467791557312,http://www.ncbi.nlm.nih.gov/pubmed/PMC10971037
38448588,"CSN and glosso., glossopharyngeal nerve, including the carotid sinus nerve (CSN).",glossopharyngeal nerve,carotid sinus nerve,structural connectivity,0.9840102791786194,http://www.ncbi.nlm.nih.gov/pubmed/38448588
38558265,"Taste sensation from the anterior two-thirds of the tongue is carried by the parasympathetic fibers of the chorda tympani, a branch of the facial nerve that joins the lingual nerve while taste sensation from the posterior one-third is carried by the glossopharyngeal nerve.",facial nerve,lingual nerve,structural connectivity,0.9989869594573975,http://www.ncbi.nlm.nih.gov/pubmed/38558265
38558357,"Furthermore, Nakazato et al. reported the increase of electrogustometry thresholds in older subjects at the chorda tympani and glossopharyngeal nerve areas from the age of 60 years, and at the greater petrosal nerve area after 70 years old [17].",chorda tympani,glossopharyngeal nerve,structural connectivity,0.9952898025512695,http://www.ncbi.nlm.nih.gov/pubmed/38558357
38568325,PTNS was first proposed as a treatment for FI in 2003 [24] based on the hypothesis that stimulation of the posterior tibial nerve could result in similar effects seen with SNM given the shared origin with the pudendal nerve in the sacral nerve roots [8].,tibial nerve,pudendal nerve,anatomical connectivity,0.5131486058235168,http://www.ncbi.nlm.nih.gov/pubmed/38568325
PMC10993477,The Stellate Ganglion (SG) is a sympathetic ganglion that results from the fusion of the inferior cervical ganglion and the first thoracic ganglion.,sympathetic ganglion,inferior cervical ganglion,structural connectivity,0.9812561273574829,http://www.ncbi.nlm.nih.gov/pubmed/PMC10993477
PMC10993477,The Stellate Ganglion (SG) is a sympathetic ganglion that results from the fusion of the inferior cervical ganglion and the first thoracic ganglion.,Stellate Ganglion,inferior cervical ganglion,anatomical connectivity,0.5633812546730042,http://www.ncbi.nlm.nih.gov/pubmed/PMC10993477
PMC10993477,Stellate Ganglion Block (SGB) is a clinical procedure that involves the injection of a local anesthetic (such as ropivacaine or bupivacaine) alongside the sympathetic ganglion.,Stellate Ganglion,sympathetic ganglion,structural connectivity,0.9960293173789978,http://www.ncbi.nlm.nih.gov/pubmed/PMC10993477
PMC10993477,"As the sympathetic ganglion, the SG reduces sympathetic activity, thus resulting in a slower heart rate; however, some reports suggest that the cervical ganglion and vagus nerve travel within the same vascular sheath [17].",sympathetic ganglion,vagus nerve,structural connectivity,0.9708023071289062,http://www.ncbi.nlm.nih.gov/pubmed/PMC10993477
PMC10993477,"Of course, there is also a mix of sympathetic and vagal fibers, the stellate ganglion also contains vagus nerve fibers [22].etc.",stellate ganglion,vagus nerve,structural connectivity,0.541407585144043,http://www.ncbi.nlm.nih.gov/pubmed/PMC10993477
37972275,"Since it was difficult to differentiate the glossopharyngeal nerve from the vagus nerve on the sections, both nerves were described as a unit.",glossopharyngeal nerve,vagus nerve,anatomical connectivity,0.9926536083221436,http://www.ncbi.nlm.nih.gov/pubmed/37972275
38482488,"However, because some vagus nerves innervate the heart, vagus nerve activation can be determined by measuring heart rate and heart-rate variability (HRV), or variations in the time interval between consecutive heartbeats.",vagus,vagus nerve,anatomical connectivity,0.8353020548820496,http://www.ncbi.nlm.nih.gov/pubmed/38482488
PMC10943270,"The course of those fibers is as follows: exit the spinal cord, pass through the paravertebral ganglion at the same level (without synapsing) and into the splanchnic nerves (sympathetic).",paravertebral ganglion,splanchnic nerves,topological connectivity,0.919018030166626,http://www.ncbi.nlm.nih.gov/pubmed/PMC10943270
37589339,"The carotid bodies are innervated by the carotid sinus nerve branch of the glossopharyngeal nerve and project centrally into the NTS through the ST (Paxinos et al., 2012), with carotid sinus nerve firing proportional to the severity of hypoxia (Lopez‐Barneo et al., 2008).",glossopharyngeal nerve,carotid sinus nerve,topological connectivity,0.9615254402160645,http://www.ncbi.nlm.nih.gov/pubmed/37589339
PMC10960246,Exemplary of this are the internal jugular vein and primitive head sinus which migrate laterally to several neural ganglion while still noted to lie medial to the developing Gasserian ganglion and trigeminal nerve.,Gasserian ganglion,trigeminal nerve,structural connectivity,0.9988631010055542,http://www.ncbi.nlm.nih.gov/pubmed/PMC10960246
